60;-36.95;0.0007098;0.31121;3.798;205.32;209.12;3.841;223.95;227.79;0.01634;0.94807;0.96441
70;-33.87;0.0007144;0.26929;7.68;203.2;210.88;7.73;222;229.73;0.03267;0.92775;0.96042
80;-31.13;0.0007185;0.23753;11.15;201.3;212.46;11.21;220.25;231.46;0.04711;0.90999;0.9571
90;-28.65;0.0007223;0.21263;14.31;199.57;213.88;14.37;21865;233.02;0.06008;0.89419;0.95427
100;-26.37;0.0007259;0.19254;17.21;197.98;215.19;17.28;217.16;234.44;0.07188;0.87995;0.95183
120;-22.32;0.0007324;0.16212;22.4;195.11;217.51;22.49;214.48;236.97;0.09275;85503;0.94779
140;-18.77;0.0007383;0.14014;26.98;192.57;219.54;27.08;212.08;239.16;0.11087;0.83368;0.94456
160;-15.6;0.0007437;0.12348;31.09;190.27;221.35;31.21;209.9;241.11;0.12693;0.81496;0.9419
180;-12.73;0.0007487;0.11041;34.83;188.16;222.99;34.97;207.9;24286;0.14139;0.79826;0.93965
200;-10.09;0.0007533;0.099867;38.28;186.21;224.48;38.43;206.03;244.46;0.15457;0.78316;0.93773
240;-5.38;0.000762;0.083897;44.48;182.67;227.14;44.66;202.62;247.28;0.17794;0.75664;0.93458
280;-1.25;0.0007699;0.072352;49.97;179.5;229.46;50.18;199.54;249.72;0.19829;0.73381;0.9321
320;2.46;0.0007772;0.063604;54.92;176.61;231.52;55.16;196.71;251.88;0.21637;0.71369;0.93006
360;5.82;0.0007841;0.056738;59.44;173.94;233.38;59.72;194.08;253.81;0.2327;0.69566;0.92836
400;8.91;0.0007907;0.051201;63.62;171.45;235.07;63.94;191.62;255.55;0.24761;0.67929;0.92691
450;12.46;0.0007985;0.045619;68.45;168.54;237;68.81;188.71;257.53;0.26465;0.66069;0.92535
500;15.71;0.0008059;0.041118;72.93;165.82;238.75;73.33;185.98;259.3;0.28023;0.64377;0.924
550;18.73;0.000813;0.037408;77.1;163.25;240.35;77.54;183.38;250.92;0.29461;0.62821;0.92282
600;21.55;0.0008199;0.034295;81.02;160.81;241.83;81.51;180.9;262.4;0.30799;0.61378;0.92177
650;24.2;0.0008266;0.031646;84.72;158.48;243.2;85.26;178.51;263.77;0.32051;0.6003;0.92081
700;26.69;0.0008331;0.029361;88.24;156.24;244.48;88.82;176.21;265.03;0.3323;0.58763;0.91994
750;29.06;0.0008395;0.027371;91.59;154.08;245.67;92.22;173.98;266.2;0.34345;0.57567;0.91912
800;31.31;0.0008458;0.025621;94.79;152;246.79;95.47;171.82;267.29;0.35404;0.56431;0.91835
850;33.45;0.000852;0.024069;97.87;149.98;247.85;98.6;169.71;268.31;0.36413;0.55349;0.91762
900;35.51;0.000858;0.022683;100.83;148.01;24885;101.61;167.66;269.26;0.37377;0.54315;0.91692
950;37.48;0.0008641;0.021438;103.69;146.1;249.79;104.51;165.64;270.15;0.38301;0.53323;0.91624
1000;39.37;0.00087;0.020313;106.45;144.23;250.68;107.32;163.67;270.99;0.39189;0.52368;0.91558
1200;46.29;0.0008934;0.016715;116.7;137.11;253.81;117.77;156.1;273.87;0.42441;0.48863;0.91303
1400;52.4;0.0009166;0.014107;125.94;130.43;256.37;127.22;14890;276.12;0.45315;0.45734;0.9105
1600;57.88;0.00094;0.012123;134.43;12404;258.47;13593;141.93;277.86;0.47911;0.42873;90784
1800;62.87;0.0009639;0.010559;142.33;117.83;260.17;144.07;135.11;279.17;0.50294;0.40204;90498
2000;67.45;0.0009886;0.009288;149.78;111.73;261.51;151.76;128.33;280.09;0.52509;0.37675;0.90184
2500;77.54;0.0010566;0.006936;166.99;96.47;263.45;169.63;111.16;280.79;0.57531;0.31695;0.89226
3000;86.16;0.0011406;0.005275;183.04;80.22;263.26;186.46;92.63;279.09;0.62118;0.25776;0.87894
